stop_usd,target_usd,sessions,raw_bars,trades,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
1.75,2.25,125,48390,215,215,1389,-1044.8898000000127,1874.7265077197962,162.64500000000012,1712.081507719797,-2919.616307719809,-2.9196163077198087,46.51162790697674,0.8283767577312391,-1.5452166086804096,-1.9253299239184922,4488.719057399867,4.4511303153499915,-13.579610733580507,128.46046511627907,73,40,102,189.12209302325581,243.15697674418604
2.25,2.5,125,48390,185,185,1419,-1341.7072000000014,1613.5587349198374,140.1680000000001,1473.3907349198382,-2955.265934919839,-2.9552659349198387,48.64864864864865,0.8114368824799123,-1.5929872535937974,-1.943006903758574,5172.227042899889,5.12711396108884,-15.974410459026156,159.55135135135134,49,30,106,243.53513513513514,270.5945945945946
3.0,3.0,125,48390,155,155,1449,-1956.8263999999883,1351.7826526398637,117.49500000000006,1234.287652639864,-3308.609052639852,-3.308609052639852,50.32258064516129,0.760478526969459,-1.6262318785994694,-1.9488531347041371,5915.571971059893,5.848056375548337,-21.34586485574098,200.47096774193548,30,16,109,324.8709677419355,324.8709677419355
1.5,1.5,125,48390,275,275,1329,-665.4406000000098,2397.68754331975,207.7810000000001,2189.90654331975,-3063.12814331976,-3.06312814331976,47.27272727272727,0.8375223903228334,-1.6701098238124956,-2.0387580180993052,4031.9993169597874,4.009242034962194,-11.138647793890037,91.02545454545455,98,87,90,161.90727272727273,161.90727272727273
1.5,0.75,125,48390,352,352,1252,334.77019999999357,3069.4703309596775,266.3080000000004,2803.162330959678,-2734.700130959684,-2.734700130959684,61.93181818181818,0.8452735435129125,-1.6916471128331456,-2.0195807060520323,3606.284015879748,3.590436013042352,-7.769034462953647,55.23863636363637,92,197,63,162.1193181818182,81.0596590909091
3.0,2.5,125,48390,165,165,1439,-2020.177099999997,1439.2111399798594,125.15300000000005,1314.0581399798616,-3459.3882399798563,-3.459388239979856,49.696969696969695,0.7592438418368391,-1.7140488322908245,-2.0342233783754318,5997.052402159898,5.944063895682061,-20.96598933321125,183.61212121212122,30,27,108,325.07272727272726,270.8939393939394
2.0,2.5,125,48390,197,197,1407,-1625.6098000000102,1717.8996862398362,149.19800000000012,1568.7016862398375,-3343.5094862398464,-3.3435094862398462,46.7005076142132,0.7975961857219994,-1.7209855783483643,-2.066530565358649,5385.97451161989,5.337868837896956,-16.97212937177587,147.87817258883248,58,32,107,216.38578680203045,270.48223350253807
1.0,0.75,125,48390,401,401,1203,1000.419399999994,3496.7619775996413,303.29600000000045,3193.465977599644,-2496.3425775996475,-2.4963425775996475,55.36159600997507,0.8601838167522337,-1.7345449587110413,-2.1344279330398765,3240.5742780597066,3.2262637418582365,-6.22529321097169,41.758104738154614,143,205,53,108.0498753117207,81.03740648379052
0.75,1.25,125,48390,382,382,1222,602.9683999999854,3330.603146679634,288.82000000000045,3041.7831466796324,-2727.6347466796487,-2.7276347466796484,39.00523560209424,0.8552843423293254,-1.7354939013299977,-2.1638335804252553,3923.326585379691,3.9047094974168735,-7.1404050960200225,49.824607329842934,202,116,64,81.00785340314137,135.0130890052356
2.0,3.0,125,48390,184,184,1420,-1830.5917000000034,1604.2296477398443,139.27900000000008,1464.9506477398447,-3434.8213477398476,-3.434821347739848,46.19565217391305,0.779707589280292,-1.744557561967124,-2.115855823778297,5432.997496359894,5.370471311743449,-18.667507324673085,164.0,56,19,109,216.27173913043478,324.4076086956522
