variant,symbol,lead_symbol,signal_time,entry_time,exit_time,direction,entry_z,entry_reference,entry_price,exit_reference,exit_price,shares,requested_notional,allocated_notional,entry_notional,stop_usd_per_share,target_usd_per_share,gross_risk_usd,gross_reward_usd,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
equal_allocation,META,QQQ,2026-07-22 15:05:00-04:00,2026-07-22 15:06:00-04:00,2026-07-22 15:49:00-04:00,SHORT,3.8432159013,627.1950000000,627.0695610000,624.4450000000,624.5698890000,17,11111.1100000000,11111.1100000000,10660.1825370000,8.0000000000,2.7500000000,136.0000000000,46.7500000000,635.1950000000,624.4450000000,TAKE_PROFIT_BRACKET,43,46.7500000000,4.2555760000,0.1190000000,4.3745760000,42.3754240000
equal_allocation,AMZN,QQQ,2026-07-22 14:28:00-04:00,2026-07-22 14:29:00-04:00,2026-07-22 15:55:00-04:00,SHORT,2.8780197240,243.1050000000,243.0563790000,245.1050000000,245.1540210000,45,11111.1100000000,11111.1100000000,10937.5370550000,2.0000000000,1.2500000000,90.0000000000,56.2500000000,245.1050000000,241.8550000000,STOP,86,-90.0000000000,4.3938900000,0.3150000000,4.7088900000,-94.7088900000
equal_allocation,META,QQQ,2026-07-22 15:49:00-04:00,2026-07-22 15:50:00-04:00,2026-07-22 15:55:00-04:00,LONG,-2.5829334778,624.4500000000,624.5748900000,627.2000000000,627.0745600000,17,11111.1100000000,11111.1100000000,10617.7731300000,8.0000000000,2.7500000000,136.0000000000,46.7500000000,616.4500000000,627.2000000000,TAKE_PROFIT_BRACKET,5,46.7500000000,4.2556100000,0.1190000000,4.3746100000,42.3753900000
equal_allocation,AMD,QQQ,2026-07-22 15:50:00-04:00,2026-07-22 15:51:00-04:00,2026-07-22 15:55:00-04:00,LONG,-2.7346724432,552.3100000000,552.4204620000,550.5600000000,550.4498880000,20,11111.1100000000,11111.1100000000,11048.4092400000,1.7500000000,4.0000000000,35.0000000000,80.0000000000,550.5600000000,556.3100000000,STOP,4,-35.0000000000,4.4114800000,0.1400000000,4.5514800000,-39.5514800000
equal_allocation,NVDA,QQQ,2026-07-22 13:14:00-04:00,2026-07-22 13:15:00-04:00,2026-07-22 15:59:00-04:00,LONG,-2.8053667093,213.4900000000,213.5326980000,212.0601000000,212.0176879800,52,11111.1100000000,11111.1100000000,11103.7002960000,5.2500000000,1.2500000000,273.0000000000,65.0000000000,208.2400000000,214.7400000000,FORCED_EOD,164,-74.3548000000,4.4257210400,0.3640000000,4.7897210400,-79.1445210400
equal_allocation,MSFT,QQQ,2026-07-22 12:57:00-04:00,2026-07-22 12:58:00-04:00,2026-07-22 15:59:00-04:00,SHORT,2.9951609819,389.5100000000,389.4320980000,390.2800000000,390.3580560000,28,11111.1100000000,11111.1100000000,10904.0987440000,11.7500000000,9.0000000000,329.0000000000,252.0000000000,401.2600000000,380.5100000000,FORCED_EOD,181,-21.5600000000,4.3668240000,0.1960000000,4.5628240000,-26.1228240000
equal_allocation,AAPL,QQQ,2026-07-22 14:33:00-04:00,2026-07-22 14:34:00-04:00,2026-07-22 15:59:00-04:00,SHORT,3.0352338606,324.2100000000,324.1451580000,325.8700000000,325.9351740000,34,11111.1100000000,11111.1100000000,11020.9353720000,3.0000000000,7.5000000000,102.0000000000,255.0000000000,327.2100000000,316.7100000000,FORCED_EOD,85,-56.4400000000,4.4205440000,0.2380000000,4.6585440000,-61.0985440000
equal_allocation,GOOGL,QQQ,2026-07-22 15:55:00-04:00,2026-07-22 15:56:00-04:00,2026-07-22 15:59:00-04:00,LONG,-4.1637786607,342.4100000000,342.4784820000,342.0650000000,341.9965870000,32,11111.1100000000,11111.1100000000,10959.3114240000,1.2500000000,3.2500000000,40.0000000000,104.0000000000,341.1600000000,345.6600000000,FORCED_EOD,3,-11.0400000000,4.3806400000,0.2240000000,4.6046400000,-15.6446400000
equal_allocation,META,QQQ,2026-07-22 15:55:00-04:00,2026-07-22 15:56:00-04:00,2026-07-22 15:59:00-04:00,SHORT,4.3946056646,628.1600000000,628.0343680000,627.0700000000,627.1954140000,17,11111.1100000000,11111.1100000000,10676.5842560000,8.0000000000,2.7500000000,136.0000000000,46.7500000000,636.1600000000,625.4100000000,FORCED_EOD,3,18.5300000000,4.2677820000,0.1190000000,4.3867820000,14.1432180000
equal_allocation,AVGO,QQQ,2026-07-22 13:45:00-04:00,2026-07-22 13:46:00-04:00,2026-07-22 15:59:00-04:00,SHORT,2.7931604688,398.0950000000,398.0153810000,396.6900000000,396.7693380000,27,11111.1100000000,11111.1100000000,10746.4152870000,10.5000000000,5.0000000000,283.5000000000,135.0000000000,408.5950000000,393.0950000000,FORCED_EOD,133,37.9350000000,4.2918390000,0.1890000000,4.4808390000,33.4541610000
